fsd_id,k1,k2,bv1,bv3,bv6,k7,k8_1,k8_2,k8_3,k8_4,k9_1,k9_2,k9_3,k9_4,k9_5,k9_6,k9_7,k9_8,k9_9,k9_10,k9_11,k9_12,k9_13,k9_14,k9_15,k9_16,k9_17,k9_18,k9_19,k9_20,k9_21,k9_22,k9_23,k9_24,k9_25,k9_26,k9_27,k9_28,k9_29,k9_30,k13,k14,k15,k16,k17,k18,k19,k20,k21_1,k21_2,k21_3,k21_4,k21_5,k21_6,k21_7,k21_8,k21_9,k22_1,k22_2,k22_3,k22_4,k22_5,k22_6,k22_7,k22_8,k22_9,k22_10,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k95_1,k95_2,k95_3,k95_4,k95_5,k95_6,k95_7,k95_8,k95_9,k95_10,k95_11,k95_12,k95_13,k95_14,k95_15,k95_16,k95_17,k95_18,height,weight,gender,age,BMI,BMI.factor,Social_wellbeing,Social_engagement,Mental_wellbeing,Emotional_wellbeing,Accomplishment,Pressure,EXhaustion
2867,2,2,36,5,1,1,5,5,3,4,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,3,1,0,0,0,1,0,0,-1,-1,1,1,-2,2,-1,-1,0,0,0,1,0,0,0,4,0,0,0,3,4,4,2,2,1,4,2,1,3,1,3,1,1,2,1,1,1,2,1,1,3,4,3,5,3,3,4,4,4,160,58,Female,22-24,22.656249999999996,Normal weight,-0.33455313608561077,1.2852290368494548,1.5155335979453435,0.6853657282477114,0.3257359102164189,-1.252868185813565,-0.7613267187451961
2868,2,1,36,5,1,2,4,4,4,4,3,3,3,2,4,1,2,3,1,1,1,1,2,1,2,1,2,3,2,3,2,2,4,2,2,2,2,2,2,1,3,1,0,0,0,0,0,0,2,-1,2,0,1,2,2,2,1,1,0,0,0,0,0,1,1,0,0,2,3,2,2,2,1,2,2,2,1,1,2,4,1,4,4,1,1,4,1,4,3,6,6,6,6,6,6,3,6,169,60,Male,22-24,21.007667798746546,Normal weight,-0.7296702671320368,-0.4271947315007862,-0.14646360451387677,-0.03127233971136095,2.008781182251271,1.0710358911771674,-0.9227604721008008
2869,2,1,36,5,1,1,4,5,4,4,2,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,2,3,1,2,1,1,3,1,0,0,0,0,0,0,2,-1,2,2,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,2,1,2,1,1,2,2,1,1,1,1,1,4,4,2,1,5,2,4,2,5,3,5,5,4,5,5,5,5,5,184,78,Male,22-24,23.03875236294896,Normal weight,-0.9426627450049144,-1.616399075551924,-1.4723533985509674,-0.9507704080149031,1.2590312170897957,0.39059345998438677,0.9841380157150524
2870,5,2,36,9,1,1,5,3,4,4,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,3,1,1,1,1,2,2,2,1,1,4,1,0,0,0,0,0,0,-1,0,-1,0,0,1,1,-1,-1,2,0,2,1,0,0,1,1,1,2,2,2,2,1,2,1,1,2,2,1,1,1,2,1,2,1,1,1,2,4,2,2,2,1,1,2,1,2,2,2,166,70,Female,31-33,25.402816083611555,Overweight,-0.7225699111038472,-1.5711487902564922,-1.4815905674018899,-0.39823539691900134,-1.7035708082009513,-0.8053033710097605,-0.7559633544473298
2871,3,1,36,9,1,1,5,4,4,4,1,NA,2,2,NA,1,NA,1,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,1,0,0,0,0,0,0,1,-1,0,1,1,1,1,1,1,2,1,0,1,0,0,4,1,0,2,2,2,2,2,2,1,2,2,2,1,1,2,1,1,3,1,1,1,1,1,1,5,5,4,4,5,4,5,5,4,184,80,Male,25-27,23.629489603024574,Normal weight,-0.768346447056356,-0.4284493942134128,-0.1254627355852153,-0.4069406427484634,1.1461894464583717,-1.2085044324803522,-0.8893468881238227
2872,4,1,36,9,1,1,4,5,5,4,2,1,2,1,1,1,1,2,1,1,1,1,4,2,2,1,1,1,2,2,1,1,1,2,1,3,1,2,2,NA,3,1,0,0,0,0,0,0,1,-1,0,-1,0,2,2,1,1,2,0,0,2,0,0,2,0,1,2,2,1,2,2,3,2,2,2,2,1,2,2,4,1,6,2,2,1,6,5,4,4,6,4,4,6,5,6,5,4,182,74,Male,28-30,22.34029706557179,Normal weight,-0.11421609385768952,-0.37519827029653485,-0.13814825662782687,-0.0597834612831217,1.4550960065872156,1.7597120979305982,-0.620371899820548
2873,2,2,36,9,1,1,3,3,4,3,4,3,3,1,3,1,1,1,2,2,1,1,3,3,3,1,2,2,3,1,1,1,1,1,3,3,2,2,1,1,3,1,0,0,0,0,0,0,-1,-1,1,1,1,1,-1,0,-1,2,0,0,1,0,0,0,0,0,3,3,1,2,2,3,2,2,2,2,2,2,2,4,4,4,2,3,3,5,4,4,1,3,1,1,4,3,2,3,2,174,73,Female,22-24,24.111507464658473,Normal weight,0.23152314008371444,0.007712253429468418,-0.16265869029266655,0.18115293213066647,-1.1445348669745994,1.0370834878528097,0.5660297520223689
2874,5,1,36,9,1,1,4,4,3,4,1,1,2,1,1,3,3,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,3,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,2,2,2,1,0,0,1,1,1,1,2,2,3,2,3,2,2,2,3,2,2,2,3,1,4,1,1,1,1,1,1,5,5,5,5,5,5,6,5,5,170,60,Male,31-33,20.761245674740486,Normal weight,0.5900604848281509,0.06265235562929468,0.03871718788374935,0.4087976955018289,1.714552607790841,-0.8169081131033809,-0.8021670185213261
2875,2,2,36,9,1,1,4,4,5,4,1,1,1,1,1,1,1,2,1,2,NA,1,3,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,3,1,0,0,0,0,0,0,-2,-1,1,0,2,1,-2,-1,-1,3,1,2,1,2,0,0,2,0,1,2,1,2,NA,3,3,3,2,3,3,3,3,5,2,1,1,1,1,1,1,1,3,4,3,2,3,2,4,2,2,155,50,Female,22-24,20.811654526534856,Normal weight,NA,NA,NA,NA,-0.6002975430741194,-0.9799038626548697,-0.8807330497644776
2876,2,2,36,9,1,1,4,3,4,4,2,1,NA,4,2,2,1,3,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,NA,2,1,4,1,0,0,0,0,0,0,1,0,2,1,1,1,1,-1,-1,2,0,1,0,0,0,1,1,0,0,3,1,2,2,3,2,2,2,2,2,1,2,4,2,4,1,4,2,2,5,4,3,5,4,4,6,4,5,4,3,174,73,Female,22-24,24.111507464658473,Normal weight,-0.33643498530733207,-0.01665612267111971,-0.16055889066154516,0.4154581714758259,0.9166689997637721,0.3517192907078575,0.38772461305158995
